Member Properties                                                                                                                                                                                                                                                                                                                                                  (kip-in units),,,,,,,,,,,,,,,,Load Case 1,,,,Load Case 1                                                Aggregate Deflection Joints,,,Load Case 2,,,,Load Case 2                                                Aggregate Deflection Joints,,,Load Case 3,,,,Load Case 3                                                Aggregate Deflection Joints,,,Load Case 4,,,,Load Case 4                                                Aggregate Deflection Joints,,,Load Case 5,,,,Load Case 5                                                Aggregate Deflection Joints,,,Load Case 6,,,,Load Case 6                                               Aggregate Deflection Joints,,,Nodal Supports                                                                                                                                                                                                                      (Yes = 1    No = 0),,,,,,,,,                     Available Shapes         ,,,,,,Group Shape Set,,
Member,Start X,Start Y,Start Z,End X,End Y,End Z,Layer,Group,E ,G,Fy,kby,kbz,key,kez,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,X,Y,Z,Rx,Ry,Rz,Mx,My,Mz,Section,Shape,D (in),t (in),wt (lb/ft),W (in),Group,From,To
38,0,100.478,-5.6596,0,97.486,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,221,0,0,-0.0125,,,,202,0,0,-0.0125,,,,174,0,0,-0.0125,,,,219,0,0,-0.0125,,,,196,0,0,-0.0125,,,,188,0,0,-0.0125,,,,,,,,,,,,,38,Round Tubing,0.875,0.049,0.43181098,,38,45,55
39,0,120,-5.6596,0,116.0434,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,222,0,0,-0.0125,,,,203,0,0,-0.0125,,,,175,0,0,-0.0125,,,,220,0,0,-0.0125,,,,197,0,0,-0.0125,,,,189,0,0,-0.0125,,,,,,,,,,,,,39,Round Tubing,0.875,0.058,0.505554062,,39,45,55
40,32.75,105.9566,-5.6596,32.75,113.8699,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,224,0,0,-0.0125,,,,216,0,0,-0.0125,,,,192,0,0,-0.0125,,,,221,0,0,-0.0125,,,,198,0,0,-0.0125,,,,190,0,0,-0.0125,,,,,,,,,,,,,40,Round Tubing,0.875,0.065,0.561714882,,40,8,21
41,32.75,102,-5.6596,32.75,105.9566,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,225,0,0,-0.0125,,,,217,0,0,-0.0125,,,,193,0,0,-0.0125,,,,222,0,0,-0.0125,,,,201,0,0,-0.0125,,,,191,0,0,-0.0125,,,,,,,,,,,,,41,Round Tubing,0.875,0.083,0.701327435,,41,45,55
42,32.75,113.8699,-5.6596,32.75,115.9866,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,218,0,0,-0.0125,,,,194,0,0,-0.0125,,,,,,,,,,,202,0,0,-0.0125,,,,196,0,0,-0.0125,,,,,,,,,,,,,42,Round Tubing,0.875,0.095,0.790561685,,42,45,55
43,32.75,121.522,-5.6596,32.75,124.514,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,219,0,0,-0.0125,,,,195,0,0,-0.0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,Round Tubing,0.875,0.12,0.966597688,,43,45,55
44,32.75,117.2073,-5.6596,32.75,121.522,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,220,0,0,-0.0125,,,,196,0,0,-0.0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,Round Tubing,0.875,0.1875,1.375281271,,44,45,55
45,32.75,115.9866,-5.6596,32.75,117.2073,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,221,0,0,-0.0125,,,,197,0,0,-0.0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,Round Tubing,1,0.028,0.290363385,,45,45,55
46,32.75,124.514,-5.6596,32.75,131.1084,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,Round Tubing,1,0.035,0.360340363,,46,45,55
47,32.75,137.7028,-5.6596,32.75,141,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Round Tubing,1,0.049,0.497157678,,47,45,55
48,32.75,131.1084,-5.6596,32.75,137.7028,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,Round Tubing,1,0.058,0.582903215,,48,45,55
49,0,128.9426,-5.6596,0,124.8974,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,Round Tubing,1,0.065,0.648399277,,49,45,55
50,0,130.1633,-5.6596,0,128.9426,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Round Tubing,1,0.083,0.81201674,,50,45,55
51,0,134.478,-5.6596,0,130.1633,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,Round Tubing,1,0.095,0.917254263,,51,87,89
52,0,124.8974,-5.6596,0,120,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,Round Tubing,1,0.12,1.126630418,,52,87,89
53,0,138.3107,-5.6596,0,134.478,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,Round Tubing,1,0.156,1.404703289,,53,87,89
