Member Properties                                                                                                                                                                                                                                                                                                                                                  (kip-in units),,,,,,,,,,,,,,,,Load Case 1,,,,Load Case 1                                                Aggregate Deflection Joints,,,Load Case 2,,,,Load Case 2                                                Aggregate Deflection Joints,,,Load Case 3,,,,Load Case 3                                                Aggregate Deflection Joints,,,Load Case 4,,,,Load Case 4                                                Aggregate Deflection Joints,,,Load Case 5,,,,Load Case 5                                                Aggregate Deflection Joints,,,Load Case 6,,,,Load Case 6                                               Aggregate Deflection Joints,,,Nodal Supports                                                                                                                                                                                                                      (Yes = 1    No = 0),,,,,,,,,                     Available Shapes         ,,,,,,Group Shape Set,,
Member,Start X,Start Y,Start Z,End X,End Y,End Z,Layer,Group,E ,G,Fy,kby,kbz,key,kez,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,Member,wx ,wy ,wz,X,Y,Z,X,Y,Z,Rx,Ry,Rz,Mx,My,Mz,Section,Shape,D (in),t (in),wt (lb/ft),W (in),Group,From,To
23,32.75,121.5,-5.6596,32.75,122.161,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,120,0,0,-0.0125,,,,100,0,0,-0.0125,,,,106,0,0,-0.0125,,,,101,0,0,-0.0125,,,,114,0,0,-0.0125,,,,109,0,0,-0.0125,,,,,,,,,,,,,23,Round Tubing,0.625,0.049,0.301117584,0,23,44,54
24,32.75,109.9465,-5.6596,32.75,121.5,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,121,0,0,-0.0125,,,,101,0,0,-0.0125,,,,107,0,0,-0.0125,,,,120,0,0,-0.0125,,,,115,0,0,-0.0125,,,,110,0,0,-0.0125,,,,,,,,,,,,,24,Round Tubing,0.625,0.058,0.350855757,0,24,44,54
25,0,113.5,-5.6596,0,112.0535,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,152,0,0,-0.0125,,,,112,0,0,-0.0125,,,,111,0,0,-0.0125,,,,121,0,0,-0.0125,,,,117,0,0,-0.0125,,,,111,0,0,-0.0125,,,,,,,,,,,,,25,Round Tubing,0.625,0.065,0.388346091,0,25,44,54
26,0,120,-5.6596,0,113.5,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,153,0,0,-0.0125,,,,120,0,0,-0.0125,,,,113,0,0,-0.0125,,,,123,0,0,-0.0125,,,,118,0,0,-0.0125,,,,114,0,0,-0.0125,,,,,,,,,,,,,26,Round Tubing,0.75,0.028,0.215681444,0,26,44,54
27,0,100.5,-5.6596,0,99.839,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,154,0,0,-0.0125,,,,121,0,0,-0.0125,,,,114,0,0,-0.0125,,,,124,0,0,-0.0125,,,,119,0,0,-0.0125,,,,115,0,0,-0.0125,,,,,,,,,,,,,27,Round Tubing,0.75,0.035,0.266987938,0,27,44,54
28,0,106.1684,-5.6596,0,100.5,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,155,0,0,-0.0125,,,,122,0,0,-0.0125,,,,115,0,0,-0.0125,,,,152,0,0,-0.0125,,,,122,0,0,-0.0125,,,,116,0,0,-0.0125,,,,,,,,,,,,,28,Round Tubing,0.75,0.049,0.366464282,0,28,44,54
29,0,112.0535,-5.6596,0,106.1684,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,156,0,0,-0.0125,,,,123,0,0,-0.0125,,,,116,0,0,-0.0125,,,,155,0,0,-0.0125,,,,123,0,0,-0.0125,,,,128,0,0,-0.0125,,,,,,,,,,,,,29,Round Tubing,0.75,0.058,0.428204909,0,29,44,54
30,0,87.5,-5.6596,0,81,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,157,0,0,-0.0125,,,,124,0,0,-0.0125,,,,117,0,0,-0.0125,,,,156,0,0,-0.0125,,,,124,0,0,-0.0125,,,,133,0,0,-0.0125,,,,,,,,,,,,,30,Round Tubing,0.75,0.065,0.475030486,0,30,44,54
31,0,99.839,-5.6596,0,87.5,-5.6596,Bottom Chord 03,3,29000,11500,70,10000000000,10000000000,10000000000,10000000000,158,0,0,-0.0125,,,,155,0,0,-0.0125,,,,118,0,0,-0.0125,,,,157,0,0,-0.0125,,,,125,0,0,-0.0125,,,,134,0,0,-0.0125,,,,,,,,,,,,,31,Round Tubing,0.75,0.095,0.663869107,0,31,44,54
32,32.75,86.6507,-5.6596,32.75,92.6645,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,159,0,0,-0.0125,,,,156,0,0,-0.0125,,,,119,0,0,-0.0125,,,,158,0,0,-0.0125,,,,126,0,0,-0.0125,,,,138,0,0,-0.0125,,,,,,,,,,,,,32,Round Tubing,0.75,0.12,0.806564958,0,32,44,54
33,32.75,82.5,-5.6596,32.75,86.6507,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,157,0,0,-0.0125,,,,125,0,0,-0.0125,,,,159,0,0,-0.0125,,,,127,0,0,-0.0125,,,,139,0,0,-0.0125,,,,,,,,,,,,,33,Round Tubing,0.75,0.156,0.988618191,0,33,2,54
34,32.75,69.5,-5.6596,32.75,82.5,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,158,0,0,-0.0125,,,,126,0,0,-0.0125,,,,,,,,,,,128,0,0,-0.0125,,,,,,,,,,,,,,,,,,,,34,Round Tubing,0.75,0.1875,1.125230131,0,34,2,54
35,32.75,95.8861,-5.6596,32.75,102,-5.6596,Bottom Chord 04,4,29000,11500,70,10000000000,10000000000,10000000000,10000000000,,,,,,,,159,0,0,-0.0125,,,,127,0,0,-0.0125,,,,,,,,,,,129,0,0,-0.0125,,,,,,,,,,,,,,,,,,,,35,Round Tubing,0.875,0.028,0.253022415,0,35,2,54
